JK;Usia;Asal;Biaya;Pekerjaan_Ortu;Pend_Ayah;Pend_Ibu;Kiriman;Pengeluaran;Beasiswa
PEREMPUAN;18;LAMPUNG;0;PNS;S1;S1;600000;500000;YA
LAKI-LAKI;18;RIAU;2400000;BURUH;SMA/Sederajat;SMA/Sederajat;500000;450000;YA
PEREMPUAN;18;BOGOR;8000000;KARYAWAN SWASTA;S1;S1;800000;800000;TIDAK
LAKI-LAKI;19;JAKARTA;700000;WIRASWASTA;S1;S1;3000000;3000000;TIDAK
PEREMPUAN;18;MAROS;5000000;TNI/POLRI;SMA/Sederajat;SMA/Sederajat;800000;800000;TIDAK
PEREMPUAN;18;BOGOR;5000000;PNS;SMA/Sederajat;SMA/Sederajat;1200000;950000;TIDAK
PEREMPUAN;18;LAMPUNG;0;PNS;S1;S1;600000;450000;YA
PEREMPUAN;17;PADANG;7000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;19;INDRAMAYU;9000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;850000;TIDAK
PEREMPUAN;19;PEKANBARU;11000000;KARYAWAN SWASTA;S1;SMA/Sederajat;3000000;1500000;YA
PEREMPUAN;18;BEKASI;5000000;IBU RUMAH TANGGA;SMA/Sederajat;SMP;1000000;1000000;TIDAK
PEREMPUAN;18;BATAM;7000000;WIRASWASTA;DIPLOMA;SMA/Sederajat;1500000;1400000;TIDAK
PEREMPUAN;18;BOGOR;5000000;KARYAWAN SWASTA;S1;SMA/Sederajat;500000;500000;TIDAK
LAKI-LAKI;18;LAMPUNG;9000000;PNS;S1;S1;1200000;1100000;TIDAK
PEREMPUAN;18;INDRAMAYU;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1100000;1000000;TIDAK
PEREMPUAN;19;KUNINGAN;0;WIRASWASTA;SD;SMA/Sederajat;500000;400000;YA
PEREMPUAN;18;BOGOR;5000000;PNS;S1;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;18;KEBUMEN;0;PETANI;SMA/Sederajat;S1;800000;800000;YA
LAKI-LAKI;18;KEDIRI;5000000;PENSIUNAN;DIPLOMA;SMA/Sederajat;1200000;1100000;TIDAK
LAKI-LAKI;18;PADANG;5000000;WIRASWASTA;SMA/Sederajat;S1;1000000;800000;YA
PEREMPUAN;18;PEKANBARU;9000000;PEGAWAI BUMN;S1;S1;1500000;1700000;TIDAK
PEREMPUAN;17;BOGOR;5000000;KARYAWAN SWASTA;S1;SMA/Sederajat;1500000;1500000;TIDAK
PEREMPUAN;18;TUBAN;5000000;TNI/POLRI;S1;SMA/Sederajat;500000;500000;TIDAK
PEREMPUAN;19;CIAMIS;2400000;BURUH;SMP;SMP;1000000;1000000;YA
PEREMPUAN;18;BOGOR;5000000;KARYAWAN SWASTA;S1;SMA/Sederajat;1000000;600000;TIDAK
LAKI-LAKI;17;BOGOR;7000000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1200000;1200000;TIDAK
PEREMPUAN;18;BOGOR;9000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1500000;1500000;TIDAK
LAKI-LAKI;18;LAMPUNG;9000000;PEGAWAI BUMN;SMA/Sederajat;S1;1000000;1000000;YA
PEREMPUAN;18;CIREBON;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;900000;900000;YA
LAKI-LAKI;18;LAMPUNG;0;WIRASWASTA;SMP;SMP;900000;900000;YA
PEREMPUAN;19;JAWA TIMUR;0;BURUH;SD;SD;750000;750000;YA
LAKI-LAKI;18;JAKARTA;11000000;TNI/POLRI;SMA/Sederajat;S1;1000000;900000;TIDAK
PEREMPUAN;18;PURWOREJO;0;PETANI;SMA/Sederajat;SD;500000;500000;YA
PEREMPUAN;18;BUKIT TINGGI;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;600000;600000;TIDAK
PEREMPUAN;19;BANDUNG;10000000;PEGAWAI BUMN;SMA/Sederajat;SMA/Sederajat;2000000;2000000;TIDAK
PEREMPUAN;18;SUMATERA BARAT;11000000;PENSIUNAN;SMA/Sederajat;S1;750000;750000;TIDAK
PEREMPUAN;19;MALANG;6000000;PNS;S1;SMP;1000000;1000000;TIDAK
PEREMPUAN;18;CILEGON;6000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;800000;700000;TIDAK
PEREMPUAN;19;MAGETAN;9000000;PNS;SMA/Sederajat;SMA/Sederajat;1000000;900000;TIDAK
LAKI-LAKI;19;KEBUMEN;0;PETANI;SMP;SMA/Sederajat;600000;600000;YA
PEREMPUAN;18;BOGOR;2400000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;500000;500000;TIDAK
LAKI-LAKI;19;GARUT;7000000;PENSIUNAN;SMA/Sederajat;SMA/Sederajat;1500000;1000000;TIDAK
PEREMPUAN;18;BEKASI;7000000;PNS;S1;S1;500000;500000;TIDAK
LAKI-LAKI;18;PADANG;8000000;PENGACARA;S1;S1;1200000;1000000;TIDAK
PEREMPUAN;19;SITUBONDO;10000000;WIRASWASTA;S1;S1;1000000;950000;YA
LAKI-LAKI;17;CILACAP;0;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;0;400000;YA
LAKI-LAKI;18;PEMALANG;2400000;GURU;S1;SMA/Sederajat;0;750000;YA
PEREMPUAN;18;LAMPUNG;10000000;KARYAWAN SWASTA;S1;S1;1000000;1000000;YA
LAKI-LAKI;18;PADANG;6000000;TIDAK BEKERJA;SMA/Sederajat;S1;700000;700000;TIDAK
LAKI-LAKI;19;PEKANBARU;10000000;PNS;S1;S1;0;500000;YA
LAKI-LAKI;17;SULAWESI BARAT;11000000;PENSIUNAN;S2;S1;800000;700000;TIDAK
PEREMPUAN;17;JAKARTA;6000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;18;BANDUNG;2400000;IBU RUMAH TANGGA;SMA/Sederajat;SMA/Sederajat;1500000;1000000;TIDAK
LAKI-LAKI;18;TANGERANG;7000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;450000;600000;TIDAK
LAKI-LAKI;18;CILACAP;0;PETANI;SD;SD;300000;550000;YA
PEREMPUAN;18;PEKALONGAN;10000000;PEGAWAI BUMN;SMA/Sederajat;S1;600000;550000;TIDAK
PEREMPUAN;18;JEMBER;8000000;GURU;S1;S1;800000;700000;TIDAK
LAKI-LAKI;18;RIAU;11000000;GURU;SMA/Sederajat;S1;1000000;1000000;TIDAK
LAKI-LAKI;18;BANDUNG;9000000;WIRASWASTA;S1;S1;1000000;750000;TIDAK
LAKI-LAKI;18;BATAM;10000000;KARYAWAN SWASTA;DIPLOMA;S1;1000000;500000;TIDAK
LAKI-LAKI;18;JAKARTA;6000000;WIRASWASTA;S1;SMA/Sederajat;1000000;1000000;TIDAK
PEREMPUAN;18;MALANG;6000000;PNS;S1;SMA/Sederajat;1500000;1500000;TIDAK
PEREMPUAN;18;PACITAN;2400000;WIRASWASTA;SMA/Sederajat;SMP;1000000;1000000;YA
LAKI-LAKI;18;PADANG SIDIMPUAN;10000000;DOSEN;S2;S2;2000000;1000000;TIDAK
PEREMPUAN;16;PEKANBARU;10000000;KARYAWAN SWASTA;S1;DIPLOMA;1000000;1000000;TIDAK
PEREMPUAN;18;BANDUNG;9000000;PNS;S1;S1;800000;600000;TIDAK
PEREMPUAN;18;RIAU;7000000;WIRASWASTA;SMA/Sederajat;DIPLOMA;800000;1000000;TIDAK
LAKI-LAKI;19;SOLOK;9000000;PNS;S1;S1;1000000;1000000;TIDAK
PEREMPUAN;18;JAKARTA;10000000;PEGAWAI BUMN;S2;SMA/Sederajat;2000000;2000000;TIDAK
PEREMPUAN;18;BEKASI;6000000;WIRASWASTA;SMA/Sederajat;S1;2000000;1800000;TIDAK
PEREMPUAN;19;SUKABUMI;2400000;WIRASWASTA;SMA/Sederajat;SMP;600000;600000;YA
PEREMPUAN;17;JAKARTA;10000000;PENGACARA;S2;S3;3000000;2000000;TIDAK
PEREMPUAN;19;PAYAKUMBUH;0;IBU RUMAH TANGGA;SD;SMP;0;800000;TIDAK
PEREMPUAN;18;MANINJAU;9000000;PNS;S1;SMA/Sederajat;700000;700000;TIDAK
PEREMPUAN;18;BOGOR;6000000;PNS;SMA/Sederajat;SMA/Sederajat;800000;700000;TIDAK
LAKI-LAKI;18;BOGOR;10000000;PNS;S3;S1;1500000;1200000;YA
PEREMPUAN;18;BOGOR;8000000;PNS;S3;DIPLOMA;1500000;1500000;TIDAK
PEREMPUAN;18;DEPOK;8000000;KARYAWAN SWASTA;S1;DIPLOMA;1500000;1500000;TIDAK
PEREMPUAN;18;BOGOR;2400000;WIRASWASTA;SMP;SD;500000;500000;YA
PEREMPUAN;18;LAMPUNG;11000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;YA
PEREMPUAN;18;JAKARTA;10000000;KARYAWAN SWASTA;SMA/Sederajat;S1;1000000;1000000;TIDAK
LAKI-LAKI;18;YOGYAKARTA;8000000;KARYAWAN SWASTA;S1;S1;1000000;800000;TIDAK
PEREMPUAN;18;BOGOR;0;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;300000;300000;YA
PEREMPUAN;18;SOLOK;0;PETANI;SD;SD;500000;400000;YA
LAKI-LAKI;18;CILACAP;8000000;WIRASWASTA;DIPLOMA;SMA/Sederajat;1500000;1000000;TIDAK
PEREMPUAN;18;MEDAN;10000000;PNS;S2;S3;1000000;900000;TIDAK
PEREMPUAN;18;PANDEGLANG;11000000;PNS;SMA/Sederajat;S1;800000;800000;TIDAK
LAKI-LAKI;18;BREBES;9000000;PETANI;SMA/Sederajat;S1;700000;700000;TIDAK
PEREMPUAN;18;BANYUWANGI;11000000;DOSEN;S2;S1;1500000;1200000;TIDAK
LAKI-LAKI;18;SIDIKALANG;9000000;PNS;SMA/Sederajat;SMA/Sederajat;700000;700000;TIDAK
LAKI-LAKI;18;LAMPUNG;9000000;WIRASWASTA;SMA/Sederajat;S1;1500000;100000;TIDAK
LAKI-LAKI;19;SOLO;9000000;PNS;S1;SMA/Sederajat;700000;700000;TIDAK
PEREMPUAN;18;MEDAN;2400000;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;1000000;900000;YA
PEREMPUAN;18;RANTAU PRAPAT;2400000;GURU;S1;SMA/Sederajat;600000;600000;YA
PEREMPUAN;18;JAKARTA;2400000;PENSIUNAN;SMA/Sederajat;SMA/Sederajat;600000;500000;TIDAK
PEREMPUAN;18;JAKARTA;2400000;KARYAWAN SWASTA;DIPLOMA;S1;800000;600000;YA
LAKI-LAKI;18;LAMONGAN;0;PETANI;SD;SD;300000;500000;YA
PEREMPUAN;18;CIAMIS;10000000;PNS;S1;S1;1500000;1500000;TIDAK
PEREMPUAN;19;BANDUNG;2400000;WIRASWASTA;SMP;SD;1000000;1000000;TIDAK
PEREMPUAN;18;KUDUS;2400000;KARYAWAN SWASTA;SMP;SD;700000;700000;YA
LAKI-LAKI;18;MEDAN;6000000;GURU;S1;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;18;DKI JAKARTA;10000000;PNS;S1;S1;700000;500000;TIDAK
PEREMPUAN;18;TEGAL;6000000;PNS;S2;S1;1000000;1000000;TIDAK
PEREMPUAN;18;SUMATERA SELATAN;0;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;600000;600000;YA
PEREMPUAN;17;PAYAKUMBUH;0;BURUH;SMA/Sederajat;SD;500000;500000;YA
PEREMPUAN;18;NGAWI;8000000;PNS;S2;S1;1000000;800000;TIDAK
PEREMPUAN;18;BEKASI;8000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;100000;TIDAK
LAKI-LAKI;18;TEGAL;2400000;KARYAWAN SWASTA;SMA/Sederajat;SMP;500000;300000;YA
LAKI-LAKI;19;DEPOK;6000000;TNI/POLRI;SMA/Sederajat;SD;600000;600000;TIDAK
PEREMPUAN;17;BOGOR;8000000;TNI/POLRI;DIPLOMA;S2;800000;800000;TIDAK
LAKI-LAKI;18;YOGYAKARTA;0;WIRASWASTA;SMA/Sederajat;SMA/Sederajat;400000;400000;YA
PEREMPUAN;18;BOGOR;8000000;PNS;S1;S1;900000;800000;TIDAK
PEREMPUAN;18;PONOROGO;2400000;PETANI;SD;SD;1000000;750000;YA
LAKI-LAKI;18;JAKARTA;8000000;KARYAWAN SWASTA;SMA/Sederajat;SMA/Sederajat;1000000;1000000;TIDAK
LAKI-LAKI;17;JAKARTA;10000000;PNS;S2;S1;1500000;1200000;TIDAK
PEREMPUAN;19;DEPOK;10000000;DOSEN;S2;S2;1050000;1050000;TIDAK
